#Pass ID: 20260125_191428_FENGYUN 3G
#Satellite: FENGYUN 3G
#Configuration: FENGYUN 3G
#almurnet v.1.7.20251203
#Start time: 2026-01-25 19:14:29

#Version: 2.0.20230620
#Station: T1
#Location: 37.570604 lon 55.790049 lat
#TLE: 1 56232U 23055A   26025.14527328  .00046082  00000+0  69370-3 0  9997
#TLE: 2 56232  49.9948   3.5622 0004071  80.7231 279.4197 15.54300718157774

#Time	Az	El	Level	Level2	SNR	BER	BlckErr	Temp	State	Recorded	gain1	gain2
2026-01-25 19:14:29.21	250.00	5.07	-47.8	-67.0	3.8	8.46e-01	0	37	0	0	67	32295
2026-01-25 19:14:30.20	249.92	5.14	-47.8	-66.8	3.8	8.38e-01	0	37	104	0	67	31658
2026-01-25 19:14:31.20	249.83	5.22	-47.8	-66.8	3.8	8.47e-01	0	37	104	0	67	31591
2026-01-25 19:14:32.19	249.75	5.29	-47.8	-66.8	3.8	8.47e-01	0	37	104	0	67	31505
2026-01-25 19:14:33.19	249.67	5.37	-47.8	-66.7	3.8	8.47e-01	0	37	104	0	67	31325
2026-01-25 19:14:34.19	249.58	5.45	-47.8	-66.8	3.8	8.47e-01	0	37	104	0	67	31467
2026-01-25 19:14:35.18	249.49	5.52	-47.8	-66.7	3.8	8.46e-01	0	37	104	0	67	31335
2026-01-25 19:14:36.18	249.41	5.60	-47.8	-66.7	3.8	8.46e-01	0	37	104	0	67	31161
2026-01-25 19:14:37.17	249.32	5.68	-47.8	-66.6	3.8	8.47e-01	0	37	104	0	67	30940
2026-01-25 19:14:38.17	249.23	5.76	-47.8	-66.6	3.8	8.48e-01	0	38	104	0	67	30737
2026-01-25 19:14:39.16	249.14	5.84	-47.8	-66.5	3.8	8.48e-01	0	37	104	0	67	30607
2026-01-25 19:14:40.16	249.05	5.92	-47.8	-66.5	3.8	8.47e-01	0	38	104	0	67	30562
2026-01-25 19:14:41.16	248.96	6.00	-47.8	-66.6	3.8	8.46e-01	0	38	104	0	67	30793
2026-01-25 19:14:42.15	248.87	6.07	-47.8	-66.6	3.8	8.46e-01	0	38	104	0	67	30924
2026-01-25 19:14:43.15	248.78	6.15	-47.8	-66.7	3.8	8.46e-01	0	38	104	0	67	31212
2026-01-25 19:14:44.14	248.69	6.23	-47.8	-66.8	3.8	8.47e-01	0	38	104	0	67	31471
2026-01-25 19:14:45.14	248.59	6.32	-47.8	-66.8	3.8	8.47e-01	0	38	104	0	67	31523
2026-01-25 19:14:46.14	248.50	6.40	-47.8	-66.8	3.8	8.46e-01	0	38	104	0	67	31459
2026-01-25 19:14:47.13	248.40	6.48	-47.8	-66.6	3.8	8.46e-01	0	38	104	0	67	30940
2026-01-25 19:14:48.13	248.31	6.56	-47.8	-66.5	3.8	8.47e-01	0	38	104	0	67	30486
2026-01-25 19:14:49.12	248.21	6.64	-47.7	-66.4	3.8	8.47e-01	0	38	104	0	67	30367
2026-01-25 19:14:50.12	248.11	6.72	-47.8	-66.5	3.8	8.47e-01	0	38	104	0	67	30656
2026-01-25 19:14:51.11	248.02	6.80	-47.8	-66.7	3.8	8.47e-01	0	38	104	0	67	31372
2026-01-25 19:14:52.11	247.92	6.89	-47.8	-66.9	3.8	8.47e-01	0	38	104	0	67	32007
2026-01-25 19:14:53.11	247.82	6.97	-47.8	-66.9	3.8	8.46e-01	0	38	104	0	67	31886
2026-01-25 19:14:54.10	247.72	7.05	-47.8	-66.7	3.8	8.46e-01	0	38	104	0	67	31387
2026-01-25 19:14:55.10	247.62	7.14	-47.7	-66.5	3.8	8.46e-01	0	38	104	0	67	30602
2026-01-25 19:14:56.09	247.52	7.22	-47.8	-66.4	3.8	8.47e-01	0	38	104	0	67	30049
2026-01-25 19:14:57.09	247.41	7.31	-47.7	-66.2	3.8	8.48e-01	0	38	104	0	67	29594
2026-01-25 19:14:58.08	247.31	7.39	-47.8	-66.0	3.8	8.48e-01	0	38	104	0	67	28720
